t u u_err g g_err r r_err i i_err z z_err Y Y_err
11.111111111111112 27.781357671788136 0.1539932388062169 25.83517702615491 0.03853645055666709 25.408540421732976 0.029551126193784 25.38612560390392 0.024272386387474275 25.835430052616765 0.02758081114987344 26.336575205654015 0.05059305702817737
12.121212121212121 27.78240374856093 0.1593364348057246 25.835969804053704 0.05858510379792062 25.382525085246126 0.046564037731049064 25.365526258972707 0.03920537867198557 25.825422023327683 0.04220050886394454 26.29897953005079 0.05548465727998646
13.131313131313131 27.796604418417555 0.16644740359772975 25.851346238375598 0.07864213786721211 25.369784260055475 0.06518213928521066 25.356266593730876 0.055225478245523534 25.82681106395338 0.057646251667518134 26.26941150293864 0.06331218065031369
14.141414141414142 27.822960549838093 0.17393226613830695 25.880199511611213 0.09614248142897051 25.369391482843547 0.08188735366279966 25.35755025625142 0.0695012407658919 25.83876441534454 0.07135279928093875 26.24737705621465 0.07193976382197195
15.151515151515152 27.860367991168715 0.18053272188659755 25.92130601981573 0.10987425329288866 25.380289839315914 0.0953099395691321 25.36847092413322 0.08092712574948673 25.860348453159627 0.08222788512145839 26.23228346773724 0.07985104540336349
16.161616161616163 27.907494734596828 0.18525392759416578 25.97318883011734 0.11904080987820291 25.401143136929797 0.10451004591564658 25.387886660101866 0.08873167440631208 25.890412226925523 0.08954936755986846 26.223329272183623 0.08589038295866999
17.171717171717173 27.96299193596495 0.1874658618996987 26.034352258826907 0.12319804623311587 25.430592471114114 0.10895176465037701 25.414636468020127 0.09247278370634757 25.92778788933021 0.09291143414644884 26.21969464911507 0.08937938051797593
18.181818181818183 28.02552136063443 0.186931684024183 26.10331238514691 0.12222597998369007 25.467289878639512 0.10844455336623318 25.44756868405358 0.09199532302020108 25.97131687897483 0.09218535527631862 26.22056658613214 0.09002374067573342
19.191919191919194 28.093753856074404 0.1838050555152893 26.17859535759991 0.11632220943322863 25.509896807521653 0.10311221197353623 25.48553966888972 0.08740784947742354 26.01984860143225 0.08750347845351343 26.22513796281815 0.08784340368187585
20.202020202020204 28.16636783246184 0.17862025819285188 26.25873570933725 0.10603080027406112 25.557082595235013 0.09340276020475109 25.527412507044893 0.07909203937101808 26.07223911733373 0.07927654830838556 26.23260663989584 0.08315580241197829
21.212121212121215 28.24205173095599 0.17225962513123227 26.34227909861038 0.09231157947052501 25.60752728716082 0.08013272997051794 25.572059394815923 0.06774031979636806 26.127353412895093 0.0682455814640773 26.242177428588896 0.07659447651615131
22.222222222222225 28.319895698293163 0.16580477095678864 26.428216993746965 0.07653974526742068 25.660350590541775 0.06444238824835101 25.618726049335788 0.054315509270973755 26.184418341336908 0.05547053005783199 26.25334873142021 0.06908665700742439
23.232323232323235 28.39926300369034 0.16026241979242287 26.515844515937715 0.060417008742487927 25.7150070930793 0.047595596634666365 25.666940705517668 0.039871576084721645 26.242921302839804 0.04221084595216701 26.265869336287743 0.06173563273299805
24.242424242424242 28.47893340786774 0.15657425858128576 26.603809977541413 0.04710249707203585 25.770363867495217 0.0321838725150002 25.715729643853763 0.02658096847211007 26.301844691468368 0.03094431552962579 26.279133774498085 0.056011541201886283
25.252525252525253 28.55764720983192 0.15542441354956302 26.690717931029788 0.04209096375793876 25.825247244414662 0.025185987581765757 25.764084396493374 0.020544613281919106 26.360136340053742 0.026743982482425533 26.29251119605462 0.05355610128271564
26.262626262626263 28.634625060384913 0.15570918962933955 26.77570516513273 0.04318288775249479 25.878943993171177 0.02525493302657522 25.811391282350073 0.020698654476471377 26.417150465664868 0.02748548266948025 26.305629559660797 0.0535372957255643
27.272727272727273 28.709850016900432 0.15601130239633157 26.858753524904067 0.04420765020037311 25.931493516100076 0.022643999630673123 25.857680559784026 0.018423658859227365 26.472895094219577 0.026756393895622656 26.318558429984865 0.05408045379828695
28.282828282828284 28.783452829779055 0.15786973647868152 26.940008693555576 0.05132898243791816 25.98309151942543 0.027660671086667848 25.903115573061356 0.022844217967750314 26.527509139480326 0.030990723645959724 26.331467758728472 0.05725332637490806
29.292929292929294 28.856089510486132 0.16379604150969856 27.020198892459057 0.07025051489702482 26.03447240411979 0.047972361316243654 25.94831933224901 0.040416129554708025 26.581590121415378 0.046191675659629526 26.344860182305833 0.06565165363377923
